season,abv,conference,division,w,l,games,win_pct,overall_rank,conf_rank,bench_mp,bench_players,bench_per_wmean,bench_per_mean,bench_ts_percent_wmean,bench_ts_percent_mean,bench_obpm_wmean,bench_obpm_mean,bench_dbpm_wmean,bench_dbpm_mean,bench_usg_percent_wmean,bench_usg_percent_mean,bench_a2t_perc_wmean,bench_a2t_perc_mean
2004,LAC,Western,Pacific,28,54,82,0.34,15.0,8.0,262.0,1,7.3,7.3,0.4,0.4,-3.1,-3.1,-1.3,-1.3,16.3,16.3,1.86,1.86
2004,MEM,Western,Southwest,50,32,82,0.61,4.0,2.0,284.0,1,4.6,4.6,0.38,0.38,-4.2,-4.2,-2.4,-2.4,20.1,20.1,1.4,1.4
2004,MIL,Eastern,Central,41,41,82,0.5,7.0,3.0,420.0,1,15.8,15.8,0.5,0.5,-1.3,-1.3,2.0,2.0,15.8,15.8,3.9199999999999995,3.92
2004,MIN,Western,Northwest,58,24,82,0.71,2.0,1.0,1297.0,3,12.994063222821897,11.300000000000002,0.5007170393215112,0.47333333333333333,-0.04880493446414809,-1.2333333333333334,-1.3939090208172706,-1.6333333333333335,22.705242868157285,22.46666666666667,1.81526599845798,2.2333333333333334
2004,NOH,Western,Southwest,41,41,82,0.5,7.0,5.0,238.0,1,11.1,11.1,0.42,0.42,-2.9,-2.9,0.1,0.1,20.7,20.7,2.54,2.54
2004,NYK,Eastern,Atlantic,39,43,82,0.48,9.0,4.0,1237.0,4,12.310913500404203,12.275,0.5009296685529506,0.5075000000000001,-2.088682295877122,-1.975,-0.32578819725141467,-0.24999999999999994,19.27057396928052,18.65,0.7731447049312853,0.83
2004,ORL,Eastern,Southeast,21,61,82,0.26,19.0,11.0,905.0,3,7.139779005524862,7.033333333333334,0.41513812154696134,0.41333333333333333,-4.392817679558011,-4.433333333333334,-1.2408839779005525,-1.2333333333333334,14.079558011049723,13.866666666666667,1.0726519337016576,1.1466666666666667
2004,PHO,Western,Pacific,29,53,82,0.35,14.0,7.0,997.0,3,13.898395185556671,14.433333333333332,0.5105616850551655,0.5166666666666667,-2.146038114343029,-1.8666666666666665,-0.16599799398194584,-0.43333333333333335,17.69899699097292,18.7,0.6699297893681044,0.7033333333333333
2004,TOR,Eastern,Atlantic,33,49,82,0.4,13.0,7.0,861.0,3,9.431707317073172,9.466666666666667,0.4165156794425087,0.4166666666666667,-3.519163763066202,-3.5,0.47979094076655054,0.46666666666666673,15.918815331010453,16.0,1.887979094076655,1.9000000000000001
2004,UTA,Western,Northwest,42,40,82,0.51,6.0,4.0,1936.0,5,13.462448347107438,13.3,0.4955423553719008,0.506,-0.5903925619834711,-1.06,-0.02190082644628098,0.0,18.873243801652894,17.94,1.2375568181818182,1.108
2004,WAS,Eastern,Southeast,25,57,82,0.3,17.0,9.0,186.0,1,10.1,10.1,0.5,0.5,-0.5,-0.5,0.1,0.1,12.6,12.6,2.25,2.25
2005,ATL,Eastern,Southeast,13,69,82,0.16,20.0,10.0,1367.0,3,10.219312362838332,9.9,0.47144111192392096,0.47,-3.0932699341623993,-3.233333333333333,-0.7662033650329189,-0.7666666666666666,15.742721287490857,15.6,1.1935332845647402,1.2566666666666666
2005,BOS,Eastern,Atlantic,45,37,82,0.55,9.0,2.0,218.0,1,5.700000000000001,5.7,0.33,0.33,-4.0,-4.0,0.5,0.5,10.0,10.0,1.1999999999999997,1.2
2005,CHA,Eastern,Southeast,18,64,82,0.22,18.0,9.0,1231.0,4,12.930138099106417,12.475,0.5032250203086921,0.4975,-2.120633631194151,-2.3000000000000003,-0.7472786352558896,-0.625,18.934118602761984,18.2,0.8930869212022745,1.0125
2005,CLE,Eastern,Central,42,40,82,0.51,12.0,5.0,192.0,1,4.3,4.3,0.36000000000000004,0.36,-5.8,-5.8,-2.2,-2.2,18.4,18.4,1.33,1.33
2005,DAL,Western,Southwest,58,24,82,0.71,4.0,3.0,684.0,1,16.9,16.9,0.55,0.55,0.7,0.7,-0.6,-0.6,23.1,23.1,1.0,1.0
2005,DEN,Western,Northwest,49,33,82,0.6,8.0,7.0,1036.0,2,13.879440154440154,14.05,0.5522490347490348,0.5549999999999999,-0.731081081081081,-0.5,-0.21148648648648646,-0.25,16.47895752895753,16.6,1.7787162162162162,1.875
2005,HOU,Western,Southwest,51,31,82,0.62,6.0,5.0,1885.0,5,10.415649867374006,8.28,0.4662281167108753,0.44000000000000006,-1.8189389920424401,-2.9,0.629761273209549,0.5599999999999999,17.497771883289126,15.84,2.623358090185676,2.5040000000000004
2005,IND,Eastern,Central,44,38,82,0.54,10.0,3.0,249.0,1,5.1,5.1,0.46,0.46,-3.8,-3.8,1.5,1.5,7.2,7.2,2.67,2.67
2005,LAL,Western,Pacific,34,48,82,0.41,14.0,8.0,306.0,1,10.7,10.7,0.49,0.49,-1.6,-1.6,-2.4,-2.4,18.4,18.4,1.12,1.12
2005,MIA,Eastern,Southeast,59,23,82,0.72,2.0,1.0,451.0,2,15.063192904656319,14.7,0.5408647450110865,0.54,-0.6827050997782704,-0.7,1.966740576496674,1.85,16.96430155210643,16.8,0.9786031042128603,1.04
2005,MIL,Eastern,Central,30,52,82,0.37,16.0,8.0,671.0,2,14.857824143070046,14.05,0.587183308494784,0.585,1.3761549925484353,0.3500000000000001,0.3943368107302533,0.7,12.82682563338301,12.149999999999999,4.0634873323397915,2.95
2005,NJN,Eastern,Atlantic,42,40,82,0.51,12.0,5.0,1345.0,3,8.904237918215614,8.866666666666665,0.45550185873605936,0.4533333333333333,-3.4185130111524162,-3.4333333333333336,0.06468401486988849,9.25185853854297e-18,17.227583643122674,17.26666666666667,1.3576877323420076,1.4133333333333333
2005,NOH,Western,Southwest,18,64,82,0.22,18.0,10.0,1617.0,4,8.101669758812617,8.375,0.40202226345083486,0.40249999999999997,-4.097897340754483,-3.9749999999999996,0.07656153370439082,-0.07500000000000001,18.12047000618429,17.95,1.862931354359926,1.925
2005,NYK,Eastern,Atlantic,33,49,82,0.4,15.0,7.0,1459.0,4,9.33420150788211,8.4,0.495709389993146,0.48000000000000004,-3.8861549006168605,-3.975,-0.685126799177519,-0.325,17.713982179575048,16.049999999999997,0.7704043865661412,1.01
2005,PHI,Eastern,Atlantic,43,39,82,0.52,11.0,4.0,731.0,2,10.079890560875512,9.05,0.45298221614227085,0.435,-3.044186046511628,-3.5999999999999996,0.028864569083447325,-0.2,16.35485636114911,15.75,0.9904924760601914,0.845
2005,PHO,Western,Pacific,62,20,82,0.76,1.0,1.0,353.0,1,6.9,6.9,0.54,0.54,-3.3,-3.3,-0.1,-0.1,13.6,13.6,0.57,0.57
2005,SAC,Western,Pacific,50,32,82,0.61,7.0,6.0,1007.0,2,16.783912611717977,16.7,0.5446772591857001,0.545,0.5161866931479643,0.40000000000000013,-1.1403177755710032,-1.15,23.682323733862958,23.55,1.7964647467725918,1.77
2005,SAS,Western,Southwest,59,23,82,0.72,2.0,2.0,658.0,2,12.160486322188447,11.45,0.4225835866261398,0.42,-4.641641337386018,-4.9,-0.5404255319148936,-0.45,21.243768996960487,21.05,0.3427051671732523,0.375
2005,SEA,Western,Northwest,52,30,82,0.63,5.0,4.0,520.0,1,13.4,13.4,0.5,0.5,0.2,0.2,-0.2,-0.2,17.7,17.7,1.5,1.5
2005,UTA,Western,Northwest,26,56,82,0.32,17.0,9.0,524.0,2,11.599618320610688,11.8,0.5286641221374045,0.53,-2.45706106870229,-2.25,-0.3935114503816794,-0.3,15.976908396946568,15.850000000000001,1.7876717557251909,1.96
2006,BOS,Eastern,Atlantic,33,49,82,0.4,16.0,7.0,670.0,3,9.101194029850745,8.866666666666667,0.5265223880597014,0.52,-3.8544776119402986,-4.033333333333334,-0.6832835820895523,-0.5333333333333333,17.20134328358209,17.066666666666666,1.4774925373134329,1.3833333333333335
2006,CHA,Eastern,Southeast,26,56,82,0.32,18.0,9.0,398.0,1,15.3,15.3,0.47000000000000003,0.47,-2.0,-2.0,-0.6,-0.6,25.9,25.9,0.71,0.71
2006,DAL,Western,Southwest,60,22,82,0.73,2.0,1.0,241.0,1,10.1,10.1,0.49,0.49,-1.8,-1.8,0.0,0.0,17.0,17.0,0.57,0.57
2006,DEN,Western,Northwest,44,38,82,0.54,8.0,5.0,887.0,2,9.454340473506202,9.6,0.48682074408117243,0.485,-3.600563697857948,-3.2,-0.5953776775648253,-0.65,14.926042841037203,15.8,1.0526155580608794,1.455
2006,DET,Eastern,Central,64,18,82,0.78,1.0,1.0,378.0,1,16.1,16.1,0.53,0.53,0.4,0.4,-0.5,-0.5,23.9,23.9,1.75,1.75
2006,GSW,Western,Pacific,34,48,82,0.41,14.0,8.0,162.0,1,8.7,8.7,0.4600000000000001,0.46,-4.5,-4.5,-0.5,-0.5,20.1,20.1,1.44,1.44
2006,HOU,Western,Southwest,34,48,82,0.41,14.0,8.0,1205.0,3,11.504647302904564,11.366666666666667,0.5310124481327801,0.53,-1.884149377593361,-2.3333333333333335,0.6239004149377593,0.5333333333333333,17.192697095435687,16.5,1.060390041493776,0.9233333333333332
2006,LAC,Western,Pacific,47,35,82,0.57,6.0,3.0,412.0,1,10.7,10.7,0.59,0.59,-3.7,-3.7,0.9,0.9,15.5,15.5,0.37,0.37
