season,team name,abv,conference,division
2013,Miami Heat,MIA,Eastern,Southeast
2013,Milwaukee Bucks,MIL,Eastern,Central
2013,Minnesota Timberwolves,MIN,Western,Northwest
2013,New Orleans Pelicans,NOP,Western,Southwest
2013,New York Knicks,NYK,Eastern,Atlantic
2013,Oklahoma City Thunder,OKC,Western,Northwest
2013,Orlando Magic,ORL,Eastern,Southeast
2013,Philadelphia 76ers,PHI,Eastern,Atlantic
2013,Phoenix Suns,PHO,Western,Pacific
2013,Portland Trail Blazers,POR,Western,Northwest
2013,Sacramento Kings,SAC,Western,Pacific
2013,San Antonio Spurs,SAS,Western,Southwest
2013,Toronto Raptors,TOR,Eastern,Atlantic
2013,Utah Jazz,UTA,Western,Northwest
2013,Washington Wizards,WAS,Eastern,Southeast
2014,Atlanta Hawks,ATL,Eastern,Southeast
2014,Boston Celtics,BOS,Eastern,Atlantic
2014,Brooklyn Nets,BRK,Eastern,Atlantic
2014,Charlotte Hornets,CHA,Eastern,Southeast
2014,Chicago Bulls,CHI,Eastern,Central
2014,Cleveland Cavaliers,CLE,Eastern,Central
2014,Dallas Mavericks,DAL,Western,Southwest
2014,Denver Nuggets,DEN,Western,Northwest
2014,Detroit Pistons,DET,Eastern,Central
2014,Golden State Warriors,GSW,Western,Pacific
2014,Houston Rockets,HOU,Western,Southwest
2014,Indiana Pacers,IND,Eastern,Central
2014,Los Angeles Clippers,LAC,Western,Pacific
2014,Los Angeles Lakers,LAL,Western,Pacific
2014,Memphis Grizzlies,MEM,Western,Southwest
2014,Miami Heat,MIA,Eastern,Southeast
2014,Milwaukee Bucks,MIL,Eastern,Central
2014,Minnesota Timberwolves,MIN,Western,Northwest
2014,New Orleans Pelicans,NOP,Western,Southwest
2014,New York Knicks,NYK,Eastern,Atlantic
2014,Oklahoma City Thunder,OKC,Western,Northwest
2014,Orlando Magic,ORL,Eastern,Southeast
2014,Philadelphia 76ers,PHI,Eastern,Atlantic
2014,Phoenix Suns,PHO,Western,Pacific
2014,Portland Trail Blazers,POR,Western,Northwest
2014,Sacramento Kings,SAC,Western,Pacific
2014,San Antonio Spurs,SAS,Western,Southwest
2014,Toronto Raptors,TOR,Eastern,Atlantic
2014,Utah Jazz,UTA,Western,Northwest
2014,Washington Wizards,WAS,Eastern,Southeast
2015,Atlanta Hawks,ATL,Eastern,Southeast
2015,Boston Celtics,BOS,Eastern,Atlantic
2015,Brooklyn Nets,BRK,Eastern,Atlantic
2015,Charlotte Hornets,CHO,Eastern,Southeast
2015,Chicago Bulls,CHI,Eastern,Central
2015,Cleveland Cavaliers,CLE,Eastern,Central
2015,Dallas Mavericks,DAL,Western,Southwest
2015,Denver Nuggets,DEN,Western,Northwest
2015,Detroit Pistons,DET,Eastern,Central
2015,Golden State Warriors,GSW,Western,Pacific
2015,Houston Rockets,HOU,Western,Southwest
2015,Indiana Pacers,IND,Eastern,Central
2015,Los Angeles Clippers,LAC,Western,Pacific
2015,Los Angeles Lakers,LAL,Western,Pacific
2015,Memphis Grizzlies,MEM,Western,Southwest
2015,Miami Heat,MIA,Eastern,Southeast
2015,Milwaukee Bucks,MIL,Eastern,Central
2015,Minnesota Timberwolves,MIN,Western,Northwest
2015,New Orleans Pelicans,NOP,Western,Southwest
2015,New York Knicks,NYK,Eastern,Atlantic
2015,Oklahoma City Thunder,OKC,Western,Northwest
2015,Orlando Magic,ORL,Eastern,Southeast
2015,Philadelphia 76ers,PHI,Eastern,Atlantic
2015,Phoenix Suns,PHO,Western,Pacific
2015,Portland Trail Blazers,POR,Western,Northwest
2015,Sacramento Kings,SAC,Western,Pacific
2015,San Antonio Spurs,SAS,Western,Southwest
2015,Toronto Raptors,TOR,Eastern,Atlantic
2015,Utah Jazz,UTA,Western,Northwest
2015,Washington Wizards,WAS,Eastern,Southeast
2016,Atlanta Hawks,ATL,Eastern,Southeast
2016,Boston Celtics,BOS,Eastern,Atlantic
2016,Brooklyn Nets,BRK,Eastern,Atlantic
2016,Charlotte Hornets,CHO,Eastern,Southeast
2016,Chicago Bulls,CHI,Eastern,Central
2016,Cleveland Cavaliers,CLE,Eastern,Central
2016,Dallas Mavericks,DAL,Western,Southwest
